Strona,Login,Haslo,Katalog
Facebook,jan.kowalski@gmail.com,SuperTajneHaslo123!,Social Media
mBank,janek_bank,TrudneHasloBankowe$$,Bankowość
Netflix,rodzina_kowalskich,OgladamySeriale24,Rozrywka
Gmail,jan.praca@gmail.com,PocztaGlebowe99,Poczta E-mail
VPN Firmowy,jkowalski,XyZ_Secure_Access_2024,Praca
Instagram,insta_janek,FotkiZWakacji#2023,Social Media
Allegro,zakupy_jan,TanieKupowanie1,Inne
Spotify,muzyka.jan@o2.pl,MusicIsLife!,Rozrywka
LinkedIn,jan-kowalski-pro,BiznesoweKontakty_1,Praca
Twitter (X),tweet_jan,ElonMuskX123,Social Media
